#ff4c4c , 1
#34bf49 , 1
#fbb034 , 1
#ffdd00 , 1
#c1d82f , 1
#00a4e4 , 1
#8a7967 , 1
#6a737b , 1
#f47721 , 1
#00a78e , 1
#00bce4 , 1
#7d3f98 , 1
#49176d , 1
#00a0af , 1
#49a942 , 1
#003666 , 1
#00aeff , 1
#3369e7 , 1
#8e43e7 , 1
#b84592 , 1
#ff4f81 , 1
#ff6c5f , 1
#ffc168 , 1
#2dde98 , 1
#1cc7d0 , 1
#2ad2c9 , 1
#d0e100 , 1
#00f0f0 , 1
#00f000 , 1
#f0e000 , 1
#00a0f0 , 1
#9000f0 , 1
#f00000 , 1
#146eb4 , 1
#4d4f53 , 1
#6d6e70 , 1
#b4a996 , 1
#ecb731 , 1
#8ec06c , 1
#537b35 , 1
#c4dff6 , 1
#56a0d3 , 1
#0091cd , 1
#004b79 , 1
#7f181b , 1
#9f9fa3 , 1
#fb8a2e , 1
#00c4ff , 1
#ffb310 , 1
#1aafd0 , 1
#6a67ce , 1
#fc636b , 1
#fcb314 , 1
#067ab4 , 1
#3aa5dc , 1
#a71930 , 1
#a5acaf , 1
#a5a9ab , 1
#44c7f4 , 1
#eb5424 , 1
#d0d2d3 , 1
#2529d8 , 1
#00395d , 1
#5ecc62 , 1
#00ad45 , 1
#fff200 , 1
#70b29c , 1
#a3a3a3 , 1
#61b3de , 1
#8cb811 , 1
#fdb813 , 1
#88aca1 , 1
#788cb6 , 1
#a1a1a4 , 1
#8f8f8c , 1
#2754ba , 1
#00aee6 , 1
#799eb2 , 1
#b1d4e5 , 1
#0169a4 , 1
#3399cc , 1
#f1632a , 1
#f6f6f5 , 1
#009fe3 , 1
#feba02 , 1
#666 , 1
#f2f6fa , 1
#ef5734 , 1
#00acee , 1
#2baf2b , 1
#543729 , 1
#cecece , 1
#003f87 , 1
#eb2226 , 1
#01295c , 1
#efe9e5 , 1
#aca095 , 1
#b9cfed , 1
#553a99 , 1
#6cbc35 , 1
#fd9f3e , 1
#08538c , 1
#ee4f4f , 1
#fff9ea , 1
#76b852 , 1
#323b43 , 1
#59626a , 1
#ced7df , 1
#eff3f6 , 1
#f4f7f9 , 1
#fdbd10 , 1
#0066b2 , 1
#ed7902 , 1
#d03027 , 1
#bb1e10 , 1
#f67828 , 1
#237f52 , 1
#d74e26 , 1
#006837 , 1
#fa9f1e , 1
#f7931e , 1
#ed008c , 1
#fff000 , 1
#a6192e , 1
#decba5 , 1
#2e9df7 , 1
#522d80 , 1
#d4c99e , 1
#685c53 , 1
#a25016 , 1
#562e19 , 1
#86898c , 1
#f9e498 , 1
#566127 , 1
#3a4958 , 1
#b5c327 , 1
#109dc0 , 1
#c68143 , 1
#204056 , 1
#47cf73 , 1
#ae63e4 , 1
#fcd000 , 1
#ff3c41 , 1
#76daff , 1
#016773 , 1
#00a5dc , 1
#004eaf , 1
#2db928 , 1
#057855 , 1
#ff2d37 , 1
#737373 , 1
#cdcdcd , 1
#85c446 , 1
#c0de9e , 1
#b9dca4 , 1
#cf0072 , 1
#d9e506 , 1
#ff7900 , 1
#00c6d7 , 1
#766a65 , 1
#ae9a64 , 1
#e42313 , 1
#8b8c8d , 1
#182b45 , 1
#6b0f24 , 1
#193725 , 1
#606061 , 1
#cd595a , 1
#94938f , 1
#a3a7a6 , 1
#dbc5b0 , 1
#f8dfc2 , 1
#f9ebdf , 1
#7ab800 , 1
#f2af00 , 1
#dc5034 , 1
#b7295a , 1
#6e2585 , 1
#71c6c1 , 1
#5482ab , 1
#009bbb , 1
#862633 , 1
#003a70 , 1
#00b7c9 , 1
#dbc65d , 1
#4dc47d , 1
#181a1b , 1
#c9c9c9 , 1
#003f69 , 1
#954010 , 1
#445c6e , 1
#005238 , 1
#97824b , 1
#f9a852 , 1
#f69653 , 1
#f38654 , 1
#f07654 , 1
#ed6856 , 1
#ef5956 , 1
#ee4c58 , 1
#56c1ab , 1
#6a6b6a , 1
#2c5770 , 1
#0f723a , 1
#00629b , 1
#003865 , 1
#f5df2e , 1
#99aab5 , 1
#2c2f33 , 1
#23272a , 1
#384d54 , 1
#e21737 , 1
#fdbb30 , 1
#ed8b00 , 1
#f15d22 , 1
#bf0d3e , 1
#910048 , 1
#d0006f , 1
#ea4c89 , 1
#8aba56 , 1
#ff8833 , 1
#00b6e3 , 1
#9ba5a8 , 1
#7b8994 , 1
#47525d , 1
#3d464d , 1
#81ceff , 1
#00598e , 1
#212a3e , 1
#8ee000 , 1
#faa918 , 1
#ffc715 , 1
#d33131 , 1
#e53838 , 1
#1cb0f6 , 1
#14d4f4 , 1
